    ,user,movie
59526,1006,3762
59525,40,3142
59524,110,5407
59523,1195,2752
59522,894,3232
59521,2868,2802
59520,2994,4757
59519,2315,6157
59518,852,1032
59517,82,1752
59516,1986,13792
59515,1405,8812
59514,3218,9757
59512,1258,3867
59511,2063,3307
59510,82,34177
59508,3225,2312
59506,1048,4682
59505,61,2862
59504,2462,502
59503,1041,9497
59502,376,1232
59501,1545,277
59500,2231,4082
59499,19,2347
59498,89,2452
59496,908,1072
59495,2315,712
59494,3442,887
59493,1251,5172
59492,26,8342
59491,915,2592
59490,3218,24012
59489,145,6977
59488,397,727
59487,1748,892
59486,1468,38832
59485,2014,13507
59484,481,29322
59483,2945,3787
59482,1545,32907
59481,3078,522
59480,2525,1672
59479,152,1737
59478,565,6052
59477,2175,2367
59474,82,18477
59473,1545,6932
59472,313,21442
59471,859,16817
59470,3281,1632
59469,2371,14757
59468,1286,20292
59467,1643,18532
59466,2749,26607
59465,3806,13577
59464,131,1792
59463,488,11917
59462,1706,40297
59460,614,43612
59459,747,9092
59458,180,29657
59457,4541,10827
59456,1153,1797
59455,2826,1232
59453,747,2202
59452,3561,14927
59451,1006,4602
59450,12,40142
59449,201,7182
59448,460,7787
59447,719,3802
59444,1419,4077
59443,2987,1792
59442,936,9312
59441,1013,11417
59440,201,452
59439,404,11402
59438,2735,1342
59436,201,28807
59435,873,7687
59432,1615,2522
59431,1734,31377
59430,2021,44497
59428,376,442
59427,2574,4907
59426,2385,572
59425,404,36637
59424,530,3762
59422,2910,3912
59421,1125,14317
59420,908,16722
59419,1083,1052
59418,4639,5657
59417,1797,8347
59416,2189,772
59415,544,1307
59413,1426,18182
59411,1636,18757
59409,2098,417
59407,264,5587
59406,180,4327
59405,110,3477
59404,481,1857
59403,3512,6057
59401,2756,177
59400,159,18217
59399,4646,547
59398,1559,772
59397,747,342
59396,19,7362
59395,194,2872
59393,313,3822
59392,404,1702
59391,894,9247
59390,2399,5807
59389,4128,7447
59388,488,392
59386,544,3517
59384,1104,14247
59383,82,16997
59380,3603,927
59379,845,15957
59378,824,172
59377,1132,1907
59376,313,11557
59375,313,4067
59374,4324,13472
59373,1524,21797
59372,1636,2207
59371,684,21462
59370,1762,2622
59368,1972,847
59366,2413,10822
59364,2427,14737
59361,1405,2352
59360,82,1502
59359,285,27347
59358,1426,5897
59356,376,15507
59355,1636,2117
59354,2238,1372
59353,873,8157
59352,1412,17122
59351,82,6947
59350,691,21557
59349,1139,2417
59348,180,5767
59347,152,9327
59346,2770,2082
59344,383,3522
59343,1440,2897
59341,1153,5107
59340,404,10247
59339,2770,4517
59338,4289,7842
59337,1895,5587
59336,873,1747
59335,1125,27727
59334,1083,1907
59333,698,16292
59332,1615,1857
59331,1937,1007
59330,530,1172
59329,1307,2012
59328,2357,487
59327,2434,5447
59326,194,2827
59325,2315,16952
59324,2441,13872
59323,313,25917
59322,1125,6537
59320,474,39012
59319,201,41172
59318,313,16437
59317,2231,30397
59316,1923,697
59315,397,9467
59313,1055,4122
59310,1426,16497
59309,61,4162
59308,313,16647
59307,936,15342
59306,1825,1547
59305,3505,29992
59304,1944,3762
59303,4226,5442
59302,1832,2052
59301,1321,1402
59300,1090,1182
59299,852,3032
59298,397,11242
59297,264,13317
59296,1419,1197
59295,523,6152
59293,768,6107
59292,754,2117
59291,614,5297
59289,201,26497
59288,614,4912
59287,110,3842
59286,607,27097
59285,75,7797
59284,1692,3217
59283,635,4282
59281,383,33852
59280,964,4107
59279,1615,10627
59278,404,32517
59277,110,8677
59276,922,3292
59274,383,5162
59273,866,2192
59272,2273,2357
59271,1391,6697
59270,586,927
59269,775,6217
59268,2231,6377
59267,208,9692
59266,306,24582
59265,712,5817
59264,2756,6787
59261,1804,18982
59260,1097,1232
59259,2525,7152
59257,1398,7742
59256,894,7102
59255,2077,16922
59254,2980,797
59253,1349,7167
59252,285,13242
59251,2875,1972
59250,677,5612
59249,1566,2997
59248,544,3397
59247,2735,13712
59245,82,41297
59244,810,31862
59243,1300,17672
59242,68,582
59241,2770,10432
59240,2056,11357
59239,838,3217
59238,2189,927
59237,4233,2667
59236,82,2012
59235,2350,2762
59234,1034,10067
59233,4296,1382
59232,75,43417
59231,3113,15927
59230,320,16102
59229,2910,7037
59228,2889,9272
59227,1426,2147
59226,3120,2312
59225,4331,7512
59224,2168,3792
59223,278,172
59222,3106,4367
59221,2098,2342
59220,299,7777
59219,1300,5407
59218,1594,1792
59217,2077,6567
59216,12,27537
59215,719,37
59213,2231,3177
59212,1055,17797
59211,1349,24822
59209,2252,7462
59208,285,3522
59207,75,1747
59205,754,10887
59204,1251,4367
59203,2868,19547
59202,404,8447
59200,1132,15672
59199,1349,6852
59198,82,41407
59197,922,26027
59193,2371,4772
59192,852,672
59191,796,662
59190,1573,11932
59189,299,3977
59188,26,13687
59187,1300,11012
59186,628,832
59185,3085,3522
59184,3050,11192
59183,873,29587
59181,2455,8202
59180,2126,952
59179,201,28862
59178,3379,552
59177,467,40502
59176,1132,6052
59175,3589,7537
59174,208,4407
59173,3029,927
59172,3750,952
59170,4142,4607
59169,2273,14127
59168,2945,10177
59167,866,1437
59165,4093,35427
59164,614,27102
59163,922,18047
59162,1188,3217
59161,1426,4397
59160,1426,12107
59159,383,3252
59157,635,727
59156,474,8862
59154,404,34942
59153,481,10237
59151,1895,10037
59150,971,927
59149,2343,7307
59148,320,13792
59147,2098,522
59146,3764,2182
59144,2805,4622
59143,208,5177
59142,2553,307
59140,1804,5482
59139,2770,1987
59138,565,8972
59137,3785,307
59136,1748,32577
59135,614,9782
59133,110,697
59132,2896,692
59131,299,14267
59130,2525,8597
59129,2441,1982
59128,1615,257
59126,411,912
59125,558,8547
59124,180,3017
59123,1286,19032
59122,110,6207
59121,82,10357
59120,789,277
59117,12,19262
59116,1230,9607
59115,110,3447
59114,838,1597
59113,271,11562
59112,1223,7827
59111,4443,952
59109,376,29912
59108,4373,6277
59106,474,102
59105,2805,6217
59104,2308,8397
59103,1034,907
59102,1468,6877
59101,3652,1182
59100,3729,10632
59099,89,19337
59098,75,17757
59097,1552,5907
59095,1013,9532
59094,544,1892
59093,670,1397
59091,1958,11737
59090,404,21012
59089,4219,2872
59088,313,10542
59087,2371,12102
59084,2126,2217
59083,12,11922
59082,1363,3762
59081,1216,32212
59080,201,12847
59079,1153,11667
59078,271,6957
59075,82,8027
59072,3323,15772
59071,3925,11132
59070,2364,2452
59069,201,11167
59068,82,19432
59067,446,9707
59066,1426,32617
59065,3981,24352
59064,271,5817
59063,2287,14657
59062,1034,2587
59061,614,6252
59060,1797,13997
59059,383,38767
59058,747,18822
59057,320,39957
59056,180,17832
59055,19,6097
59054,1720,17442
59053,1125,4297
59052,3442,2017
59050,1909,17892
59049,2896,527
59048,3946,692
59047,873,39017
59046,1279,5082
59045,3792,3762
59043,3512,10327
59042,201,237
59041,1048,2467
59039,369,13837
59038,1132,8402
59037,82,21912
59036,404,17067
59034,3351,37392
59031,180,7607
59030,1790,3262
59028,677,1912
59027,1041,33287
59026,2525,5387
59025,1846,15302
59024,859,742
59023,271,2517
59022,733,2552
59021,3568,2342
59020,1223,5737
59019,3897,6337
59018,292,5327
59017,873,5647
59016,320,27532
59014,1426,787
59013,404,6707
59012,607,10177
59011,47,2442
59010,1300,6627
59009,810,33477
59007,957,1762
59006,2714,5967
59004,1601,277
59003,719,5327
59001,124,987
59000,194,887
58998,1216,7207
58997,2896,2417
58996,1790,8737
58995,404,13842
58994,488,1657
58993,1265,1292
58992,3316,22962
58991,663,12362
58989,964,2462
58988,3323,2107
58987,1125,4692
58986,1125,21087
58985,3218,39272
58984,537,37
58983,299,26972
58982,4324,5132
58981,1909,13232
58980,1034,26827
58979,110,197
58978,208,44327
58976,544,87
58975,4674,6407
58973,26,10472
58972,208,21212
58970,2770,4367
58968,12,10057
58967,1440,2002
58966,1440,26472
58964,1111,16792
58963,19,23912
58962,614,28067
58961,1545,6217
58960,4310,3072
58959,3617,15937
58958,2812,7067
58956,1258,887
58955,2147,172
58954,110,16812
58953,3498,7982
58952,2413,11912
58951,1013,13817
58950,1804,922
58949,404,3082
58948,208,2057
58947,530,3977
58946,782,3832
58945,1048,377
58944,1300,712
58943,75,967
58942,201,32887
58939,1251,12052
58937,383,10217
58936,89,14747
58935,313,3462
58934,1944,5657
58933,1349,592
58932,2553,19462
58929,180,2997
58927,2357,4177
58926,3211,1107
58925,341,1402
58924,502,9282
58923,558,4617
58922,124,1502
58920,3855,1007
58919,271,13162
58917,1055,10192
58915,831,7232
58914,537,8152
58911,810,6897
58909,845,11392
58905,2357,1182
58903,544,4497
58902,2119,10217
58901,796,30317
58900,607,2732
58899,320,14927
58898,229,4657
58897,3365,5662
58895,1692,43792
58894,908,807
58893,481,24852
58889,978,21347
58888,1034,6922
58887,908,6337
58886,47,3367
58885,873,23827
58884,691,8807
58883,2077,4377
58882,3652,1192
58881,341,23432
58880,1139,727
58879,173,6277
58877,3337,1217
58875,2385,1987
58874,131,11177
58872,2343,302
58870,89,7757
58869,3386,3477
58868,663,10172
58867,677,2082
58865,257,27977
58864,3141,5107
58863,4695,2947
58862,341,1302
58861,873,4657
58859,2875,2372
58857,740,6987
58856,341,1102
58854,271,20812
58853,229,14917
58852,859,13072
58851,2980,6462
58850,1587,14507
58849,4212,1457
58848,684,4042
58847,26,11577
58846,2385,9897
58845,292,357
58844,614,13497
58843,621,7292
58842,1391,4252
58840,208,26782
58839,75,29917
58838,831,13977
58837,341,3397
58836,89,4247
58835,285,17442
58834,1426,16572
58832,1132,5077
58831,1447,4297
58830,1006,347
58829,82,8907
58828,194,6692
58827,1125,392
58826,1426,8807
58825,915,12047
58824,3113,20392
58823,1132,3797
58822,719,1107
58821,404,21477
58820,2112,2947
58819,1055,1237
58818,152,5057
58817,1251,307
58816,782,2002
58815,782,33887
58814,908,642
58813,1328,13507
58812,404,11707
58810,4345,4382
58809,320,9382
58807,271,592
58806,1958,7822
58805,558,1967
58804,1727,35057
58802,719,2587
58801,838,352
58800,607,22807
58799,481,7927
58798,348,6567
58797,446,14612
58795,1412,10972
58793,3358,102
58792,964,25467
58791,1419,9877
58790,1300,36342
58788,747,36107
58787,3589,20917
58784,1475,3572
58783,1055,25857
58782,194,6782
58781,1811,4907
58780,82,31877
58779,558,33647
58778,3001,3177
58776,1174,10592
58775,1825,4147
58771,3379,13997
58770,383,33102
58768,3925,6052
58766,2364,3242
58765,495,20837
58763,47,5757
58762,873,26422
58761,607,11967
58759,383,11417
58757,383,17
58756,1496,4867
58755,607,1062
58754,2441,4012
58753,824,10922
58751,1643,2417
58750,1902,967
58749,201,4022
58748,1013,3527
58746,1461,1402
58744,12,18692
58743,124,12047
58742,1496,3232
58741,964,6347
58740,264,2477
58739,2700,2817
58738,1132,3302
58737,747,1432
58736,1636,10382
58735,3813,3547
58734,1097,1532
58733,278,7077
58731,481,30837
58729,1790,15522
58728,3792,2132
58727,75,1622
58725,3190,5707
58724,2196,4297
58723,3708,3897
58722,1041,2137
58721,2889,5922
58720,4079,3307
58719,1321,1217
58718,3316,13157
58717,978,592
58716,3190,2407
58714,180,5772
58713,2231,11032
58712,635,23522
58710,201,787
58709,537,5412
58708,1293,19577
58706,1006,602
58705,1202,2862
58704,845,10442
58702,2448,10482
58701,1209,122
58700,1797,797
58699,124,4582
58698,3155,3797
58697,82,8577
58696,180,2692
58695,3701,2132
58694,2343,15202
58693,1111,6662
58692,1398,417
58690,1216,592
58689,2770,6697
58687,523,5297
58686,698,612
58685,299,6107
58684,82,24397
58683,348,6697
58682,180,6407
58681,1174,29362
58680,1671,7582
58679,439,2387
58678,404,4757
58676,516,2997
58675,404,9182
58674,12,35217
58671,2175,417
58670,2427,7207
58669,2910,1257
58668,2427,1192
58667,3911,1912
58666,3001,352
58665,1909,5312
58662,3190,21757
58661,1832,1712
58660,1202,26562
58659,3855,1412
58658,908,3452
58657,3995,4112
58656,1993,3797
58655,719,2622
58654,89,1717
58653,649,927
58652,3687,592
58651,1755,2947
58650,824,592
58649,474,662
58648,705,26507
58647,999,6812
58646,201,9512
58645,1440,4622
58644,1426,4862
58641,117,6922
58640,12,28907
58639,82,24177
58638,1076,2552
58637,124,6242
58636,61,4832
58634,1972,497
58631,96,1147
58630,124,29267
58629,4177,2362
58628,971,3472
58627,2651,1917
58626,19,6912
58625,285,6692
58624,4513,11707
58622,747,492
58619,1013,18862
58614,446,2632
58612,75,1657
58611,180,11552
58610,1426,3752
58609,3323,15002
58608,1538,3097
58607,1286,5727
58606,306,12847
58605,684,1842
58604,635,5102
58603,873,1967
58601,82,6642
58600,873,5552
58599,299,1967
58598,1398,622
58597,698,7437
58596,3876,11837
58591,2714,12887
58589,1041,1282
58588,2350,8167
58587,3190,7377
58586,271,5142
58585,635,42757
58584,2735,15187
58583,754,3097
58582,222,3307
58581,1342,417
58580,404,10437
58579,285,23227
58578,278,22852
58574,180,16137
58573,1538,8642
58571,1615,17732
58570,2805,1402
58569,649,9957
58567,404,1142
58566,1055,22127
58565,1104,2037
58564,4345,8297
58563,82,5427
58562,831,24737
58561,3029,2017
58559,68,3552
58558,3897,8472
58557,3743,82
58556,3596,1672
58555,285,20627
58554,383,5657
58553,2924,27057
58552,404,15532
58551,2378,3097
58549,3288,2517
58546,1426,15937
58545,1125,2862
58544,3358,1202
58543,3274,13432
58542,2945,13397
58540,922,33522
58539,1475,2827
58538,306,1622
58537,82,5682
58535,439,2727
58534,320,10462
58533,1601,3762
58531,2133,4382
58530,201,1372
58529,936,13367
58528,2077,182
58527,348,1217
58526,1426,16902
58525,2238,26572
58524,404,15692
58523,1426,25722
58522,89,13232
58521,257,4282
58520,2476,417
58519,873,6322
58518,873,32577
58517,397,8722
58516,1426,1877
58515,635,40797
58512,3078,17222
58511,4184,23797
58510,2112,6587
58509,4198,357
58507,810,967
58506,3799,15772
58504,1083,3642
58503,1062,6162
58502,1349,4517
58501,2595,5107
58500,166,377
58499,894,402
58498,2035,1192
58497,1545,26002
58496,1167,4692
58495,2182,6672
58494,327,19252
58493,1426,32207
58492,2700,8357
58491,2889,2217
58489,1398,5132
58488,971,1907
58487,558,17267
58486,1167,1312
58485,824,5027
58483,964,3882
58482,3792,2667
58481,1041,15492
58480,3953,6912
58479,3561,8697
58478,873,20187
58476,4569,12407
58475,2364,237
58474,908,6937
58473,3897,6032
58472,3946,957
58471,894,337
58470,82,26342
58469,684,15632
58467,82,5322
58466,1468,23847
58465,747,22132
58464,2497,342
58463,1041,582
58462,1426,9057
58460,299,142
58459,1272,30102
58457,327,29942
58456,306,17747
58454,607,5532
58453,1559,9182
58452,2532,7682
58451,1615,7197
58450,2224,337
58446,2084,18532
58445,1545,1117
58444,257,1172
58443,1111,11642
58442,3358,18012
58441,362,1117
58438,1426,5632
58437,1643,1182
58436,411,312
58435,1734,7497
58434,4464,1037
58433,320,4692
58432,747,2127
58431,2175,10732
58430,4534,2497
58429,971,2182
58428,474,2157
58427,3519,1857
58426,285,35117
58425,614,5162
58424,901,12527
58422,12,24377
58421,1559,9007
58420,873,4507
58417,4471,2877
58416,1251,3062
58415,3582,8642
58414,1440,2907
58413,712,19982
58412,2315,21672
58411,383,23252
58409,1713,11722
58408,859,4187
58407,26,10497
58406,2042,5737
58405,516,6317
58403,390,2057
58402,1153,2617
58401,2574,7512
58400,320,17737
58399,26,16402
58398,1048,6627
58397,82,6707
58396,1349,252
58395,1363,5002
58393,614,4152
58392,180,9927
58388,439,8707
58387,4303,11582
58386,89,19022
58385,82,26477
58384,222,2827
58383,3120,1877
58382,1216,9237
58381,2140,2357
58380,1321,6532
58379,201,497
58378,2763,15517
58377,2546,887
58376,1804,4352
58375,383,11162
58374,320,7382
58373,89,6582
58372,936,5962
58370,404,23507
58369,299,417
58368,26,2137
58367,96,727
58365,614,2857
58364,3449,2352
58363,1825,1572
58362,75,13592
58361,565,442
58360,4261,772
58359,2070,12587
58356,3764,337
58354,89,9077
58353,4527,6757
58352,747,5442
58350,201,2032
58349,1111,16032
58348,2448,9812
58346,1426,19312
58345,985,1567
58344,2875,23577
58343,3673,3537
58342,264,5582
58340,1538,1187
58339,2091,3762
58338,621,6222
58336,1496,7857
58335,1657,2012
58333,901,10422
58330,2749,12697
58328,887,3092
58327,2175,3527
58326,747,4742
58324,712,5447
58323,2280,3682
58322,2245,3362
58321,3526,677
58320,82,8762
58319,1097,16952
58318,404,1542
58317,523,6027
58316,635,15437
58315,222,62
58314,866,4122
58312,1440,15942
58311,908,4657
58310,1706,15987
58309,439,33832
58308,1195,1197
58307,75,24222
58306,383,29072
58305,2742,31807
58304,2490,532
58302,383,22157
58301,341,22362
58300,4478,6167
58299,313,40337
58298,292,10617
58297,1426,11402
58296,1846,10807
58295,1552,9262
58294,82,352
58293,1475,16627
58292,621,1347
58291,1300,14297
58290,2343,9692
58289,383,787
58287,747,5592
58286,3890,1172
58285,390,1352
58283,1426,1622
58281,89,9897
58280,341,17
58279,320,4217
58278,2035,3947
58277,1293,782
58275,180,11057
58274,873,12767
58273,719,452
58271,2917,2312
58269,3246,17612
58268,19,1682
58267,2469,4052
58266,2294,7742
58265,2917,11072
58264,61,4622
58263,201,8707
58262,3974,967
58261,1741,9877
58259,2889,7097
58258,1293,25287
58257,257,402
58256,635,17237
58254,383,2362
58251,2133,2547
58250,306,13332
58249,810,11942
58248,719,4022
58247,75,32027
58246,635,517
58245,3792,5532
58244,866,2257
58243,572,1292
58242,299,2987
58241,1076,957
58240,2378,14687
58239,537,14957
58238,1468,1322
58237,320,3477
58236,1111,8767
58234,1125,7317
58233,26,1982
58232,3708,17377
58230,3505,3177
58229,2595,882
58228,313,1382
58227,1328,37
58225,1426,4047
58224,3127,8057
58223,936,15577
58222,516,182
58221,2035,227
58220,1300,17722
58219,2896,727
58217,82,9497
